ID,Expediente,Mercado,Motivo,FechaInicio,FechaResolucion,Decision,Recurso,IdSector,IdSubsector,IdRama,Amparo,Nulidad,Relacionados,PalabrasClave,Sector,Subsector,Rama,Rubro,Anio,Consecutivo,Empresas,FechaResolucionOrigen,SentidoResolucionOrigen,Efecto,FechaResolucionCNT,SentidoResolucion,Multa,Tipo,RutaGaceta,ExpedienteOrigen,FechaVPResolucionRA,SentidoVPResolucionRA,PalabrasClaveComplemento,docEmpresaAlias,FechaActualizacion,NoPresentada,Resumen,RutaNoPresentada,RutaResumen,RutaExtracto,RutaDictamen,RutaResolucion,RutaDesechamiento,RutaCierre,RutaPosicionamiento,Multa1,Mercado1,Tipo1,,,,,,,,,
10595,DE-003-2025,N/A,N/A,,27/03/2025 00:00,No presentada,,0,0,0,,,,,,,,DE,2025,3,,27/03/2025 00:00,,,27/03/2025 00:00,,,N/A,,,27/03/2025 00:00,,,,30/06/2025 14:20,,,,,,,Si,,,,0,N/A,N/A,,,,,,,,,
10594,DE-001-2025,N/A,N/A,,18/03/2025 00:00,Desechamiento,,43,433,4332,,,,,Comercio al por mayor,"CMA prod. farm., para el espar. y electrodom.","CMA art. perfumería, joy. y acces. de vestir",DE,2025,1,,18/03/2025 00:00,,,18/03/2025 00:00,,,N/A,,,18/03/2025 00:00,,,,21/04/2025 16:20,,,,,,,Si,,,,0,N/A,N/A,,,,,,,,,
10754,DE-004-2025,N/A,N/A,,18/02/2025 00:00,Desechamiento,,46,468,4684,,,,,Comercio al por menor,"CME veh. motor, refac., combustibles, lubric.","CME combustibles, aceites, grasas lubricantes",DE,2025,4,,18/02/2025 00:00,,,18/02/2025 00:00,,,N/A,,,18/02/2025 00:00,,,,08/01/2026 17:21,,,,,,,Si,,,,0,N/A,N/A,,,,,,,,,
9785,IO-004-2017,"MERCADO DE LA PRODUCCIÓN, DISTRIBUCIÓN Y COMERCIALIZACIÓN EN EL TERRITORIO NACIONAL DE PRODUCTOS PARA LA HIGIENE MANUFACTURADOS CON CELULOSA, PULPA DE CELULOSA Y SUS DERIVADOS, INCLUYENDO PAÑALES PARA BEBÉ, PROTECCIÓN SANITARIA FEMENINA, PRODUCTOS PA",53-I;53-V,,18/02/2025 00:00,Sanción,,31,339,3399,,,,,Industrias manufactureras,Otras industrias manufactureras,Otras industrias manufactureras,IO,2017,4,,18/02/2025 00:00,,,18/02/2025 00:00,,,Práctica monopólica absoluta,,,18/02/2025 00:00,,,,24/03/2025 17:20,,,,,,,Si,,,,0,"MERCADO DE LA PRODUCCIÓN, DISTRIBUCIÓN Y COMERCIALIZACIÓN EN EL TERRITORIO NACIONAL DE PRODUCTOS PARA LA HIGIENE MANUFACTURADOS CON CELULOSA, PULPA DE CELULOSA Y SUS DERIVADOS, INCLUYENDO PAÑALES PARA BEBÉ, PROTECCIÓN SANITARIA FEMENINA, PRODUCTOS PA",PRÁCTICA MONOPÓLICA ABSOLUTA,,,,,,,,,
10488,IO-004-2021,MERCADO DE LOS SERVICIOS DE TRANSPORTE MARÍTIMO EN EL ESTADO DE QUINTANA ROO,53-III,,05/02/2025 00:00,Sanción,,48,483,4831,,,,,"Transportes, correos y almacenamiento",Transporte por agua,Transporte marítimo,IO,2021,4,,05/02/2025 00:00,,,05/02/2025 00:00,,,Práctica monopólica absoluta,,,05/02/2025 00:00,,,,31/03/2025 13:20,,,,,,,Si,,,,0,MERCADO DE LOS SERVICIOS DE TRANSPORTE MARÍTIMO EN EL ESTADO DE QUINTANA ROO,PRÁCTICA MONOPÓLICA ABSOLUTA,,,,,,,,,
10485,DE-026-2024,N/A,N/A,,20/12/2024 00:00,Desechamiento,,52,524,5241,,,,,Servicios financieros y de seguros,"Compañías de fianzas, seguros y pensiones",Instituciones de seguros y fianzas,DE,2024,26,,20/12/2024 00:00,,,20/12/2024 00:00,,,N/A,,,20/12/2024 00:00,,,,07/02/2025 11:15,,,,,,,Si,,,,0,N/A,N/A,,,,,,,,,
6252,IO-002-2015,MERCADO DE SERVICIOS AL PÚBLICO DE TRANSPORTE AÉREO DE PASAJEROS Y/O DE CARGA CON ORIGEN Y/O DESTINO EN EL TERRITORIO NACIONAL.,53-I,21/04/2015 00:00,17/12/2024 00:00,Sanción,,48,481,4811,,,,,"Transportes, correos y almacenamiento",Transporte aéreo,Transporte aéreo regular,IO,2015,2,,17/12/2024 00:00,,,17/12/2024 00:00,,,Práctica monopólica absoluta,,,17/12/2024 00:00,,,,14/02/2025 13:21,,,,,,,Si,,,,88211029.86,MERCADO DE SERVICIOS AL PÚBLICO DE TRANSPORTE AÉREO DE PASAJEROS Y/O DE CARGA CON ORIGEN Y/O DESTINO EN EL TERRITORIO NACIONAL.,PRÁCTICA MONOPÓLICA ABSOLUTA,,,,,,,,,
10457,IO-002-2020,"ABASTECIMIENTO Y DISTRIBUCIÓN AL MAYOREO DE BIENES DE CONSUMO, COMERCIALIZACIÓN MINORISTA DE ÉSTOS Y SERVICIOS RELACIONADOS",56-XI,,10/12/2024 00:00,ORDEN DE SUPRESIÓN,,46,462,4621,,,,,Comercio al por menor,CME en tiendas autoservicio y departamentales,CME en tiendas de autoservicio,IO,2020,2,,10/12/2024 00:00,,,10/12/2024 00:00,,,Práctica monopólica relativa,,,10/12/2024 00:00,,,,20/01/2025 16:06,,,,,,,Si,,,,0,"ABASTECIMIENTO Y DISTRIBUCIÓN AL MAYOREO DE BIENES DE CONSUMO, COMERCIALIZACIÓN MINORISTA DE ÉSTOS Y SERVICIOS RELACIONADOS",PRÁCTICA MONOPÓLICA RELATIVA,,,,,,,,,
10431,DE-009-2019,MERCADO DEL EXPENDIO AL PÚBLICO DE GASOLINAS Y DIÉSEL EN ESTACIONES DE SERVICIO EN EL TERRITORIO NACIONAL,53-I;53-V,,02/10/2024 00:00,Sanción,,46,468,4684,,,,,Comercio al por menor,"CME veh. motor, refac., combustibles, lubric.","CME combustibles, aceites, grasas lubricantes",DE,2019,9,,02/10/2024 00:00,,,02/10/2024 00:00,,,Práctica monopólica absoluta,,,02/10/2024 00:00,,,,27/11/2024 12:21,,,,,,,Si,,,,0,MERCADO DEL EXPENDIO AL PÚBLICO DE GASOLINAS Y DIÉSEL EN ESTACIONES DE SERVICIO EN EL TERRITORIO NACIONAL,PRÁCTICA MONOPÓLICA ABSOLUTA,,,,,,,,,
10400,IO-002-2019,"PRODUCCIÓN, DISTRIBUCIÓN Y COMERCIALIZACIÓN DE IMPERMEABILIZANTES EN EL TERRITORIO NACIONAL",53-I,,30/09/2024 00:00,Sanción,,31,325,3255,,,,,Industrias manufactureras,Industria química,"Fab. de pinturas, recubrimientos y adhesivos",IO,2019,2,,30/09/2024 00:00,,,30/09/2024 00:00,,,Práctica monopólica absoluta,,,30/09/2024 00:00,,,,27/11/2024 12:21,,,,,,,Si,,,,0,"PRODUCCIÓN, DISTRIBUCIÓN Y COMERCIALIZACIÓN DE IMPERMEABILIZANTES EN EL TERRITORIO NACIONAL",PRÁCTICA MONOPÓLICA ABSOLUTA,,,,,,,,,
